"","year","Canada","Spain","Turkey","Ukraine","United.Kingdom","Kazakhstan","Russian.Federation","Iran","Saudi.Arabia","United.Arab.Emirates","Egypt","Mexico","South.Africa","Australia","China","India","Indonesia","Japan","Malaysia","South.Korea","Taiwan","Thailand","US","Vietnam","Argentina","Brazil","Germany","Italy","Netherlands","Poland","year.1","Canada.1","Spain.1","Turkey.1","Ukraine.1","United.Kingdom.1","Kazakhstan.1","Russian.Federation.1","Iran.1","Saudi.Arabia.1","United.Arab.Emirates.1","Egypt.1","Mexico.1","South.Africa.1","Australia.1","China.1","India.1","Indonesia.1","Japan.1","Malaysia.1","South.Korea.1","Taiwan.1","Thailand.1","US.1","Vietnam.1","Argentina.1","Brazil.1","Germany.1","Italy.1","Netherlands.1","Poland.1","year.2","Canada.2","Spain.2","Turkey.2","Ukraine.2","United.Kingdom.2","Kazakhstan.2","Russian.Federation.2","Iran.2","Saudi.Arabia.2","United.Arab.Emirates.2","Egypt.2","Mexico.2","South.Africa.2","Australia.2","China.2","India.2","Indonesia.2","Japan.2","Malaysia.2","South.Korea.2","Taiwan.2","Thailand.2","US.2","Vietnam.2","Argentina.2","Brazil.2","Germany.2","Italy.2","Netherlands.2","Poland.2"
"1","1985",3.16593539520976,7.747,7.082,47.1156224990332,48.307,8.29883414856836,113.337054102249,19.1913626484087,21.9014556526361,0.445,11.869,55.0623070194522,0.042,4.667,56.685,11.868,6.57580878790135,183.860232933953,9.017,19.964,5.240305,3.3519122,107.744379569893,1.216,5.706,3.91416199625034,9.595,76.174,3.258,1.68,"1985",6.808,2.514,0.0582,48.9585988805538,2.896,8.68568851788084,451.267182494013,13.7366373515913,29.7525469779769,11.555,9.2365,7.21259253890357,0,11.501,0.972,2.158,1.81468520876629,128.043162218874,2.194,0,0,10.666,313.920392473118,0.072,12.4638137857143,0,27.985,24.712,38.213,0.081,"1985",399.764465044819,193.285216121311,100.633439792732,663.122409752774,572.042316365647,231.177818022407,2172.98050183881,154.526462963005,161.543631593838,48.2186022169,73.1362669719477,233.8853145177,282.050007741205,235.746921287533,1835.36016472568,410.414074256427,84.7042369583745,943.064965356603,39.1644247252548,162.193552257004,74.8834995495178,47.0209035786848,4573.72331737568,17.3589339519184,88.5350868953138,177.599550799895,1040.75085806932,349.971357822976,172.491250140654,457.887065662187
"2","1986",3.16593539520976,6.187,7.0006,49.6880073098338,31.235,8.76364963849874,117.995068285708,19.2776834928953,24.8445834721959,0.477,13.2,60.889131743303,0.042,3.771,53.678,11.504,6.7487741284812,180.843109126713,9.187,13.895,7.487593,3.34512,146.865448387097,1.397,7.894,10.1877364618622,13.643,77.483,3.456,1.622,"1986",6.886,2.118,1.3407,51.6316051879839,1.743,9.17217161798208,469.813711281414,15.7713165071047,30.8401010755624,12.337,10.289,7.65196146129626,0,13.784,1.693,3.682,1.86241738214654,130.835532584573,2.862,0.25,0,10.25171,267.213368817204,0.066,13.2707440791925,0,29.811,26.871,41.502,0.063,"1986",389.251918145728,196.609154339773,109.693330268632,670.970714237382,588.282252569266,236.356092110662,2211.42191879616,144.38074876722,158.85126889849,58.402938406,74.8008168969214,230.360171374384,283.501650324833,244.630316472978,1918.50653986003,439.592404337259,93.3594366065012,932.990551644528,41.7636162145079,173.507950075442,85.9267741534123,48.7488477930698,4585.49879391244,18.9419019491236,101.725903385575,191.944637207094,1032.42759123847,360.007433498263,174.283758645648,469.616395282408
"3","1987",3.16593539520976,6.436,5.4956,50.1737929166982,26.268,9.03053793163861,122.545338461239,23.6326643702148,31.9298838209196,0.507,14.969,66.1907477219014,0.042,2.799,54.644,12.351,7.80111842025395,191.793023540393,9.172,5.087,6.26799,2.19079000000001,127.411366666667,1.536,10.078,7.7827930299892,13.811,89.941,3.659,1.698,"1987",6.159,1.496,2.5281,52.1363928020903,4.532,9.45150104447527,487.931242374518,13.5283356297852,33.0704023950369,13.151,11.716,8.95910684163706,0,13.989,2.737,4.235,2.15282631622674,135.038321977742,3.33,8.391,0,15.62366,293.140648387097,0.066,12.5582517766917,0,32.956,31.732,41.292,0.165,"1987",402.642518900435,203.776356852856,119.083038049377,679.303983481377,591.69039584834,240.973925560976,2268.98144037541,153.447567586177,168.295869568734,64.9282469985,78.6043328109449,239.91092589563,290.727864051168,251.662885985856,2063.82144966829,476.367322116463,101.674113388384,939.330028849038,42.776494464632,182.579870808836,91.0138694440767,57.6651808797048,4728.60722644668,21.4449857267417,106.428097425394,197.710236527902,1025.87260964686,375.397785444481,181.868692356502,486.04913373747
"4","1988",3.16593539520976,6.937,3.3047,48.3131470035681,28.393,8.88513267625511,124.108075824759,18.6199763276976,35.5144476749948,0.552,16.728,69.3977197852497,0.051,2.444,60.336,12.333,9.55896979833257,213.048859306163,9.39,11.523,15.660161,3.1455,160.10705483871,1.49,8.635,7.19240467442005,11.794,89.702,3.796,1.626,"1988",9.432,1.365,3.2395,50.2029657966093,4.778,9.299317649252,494.153497687222,20.0160236723024,34.5766222396597,14.288,13.1555,8.3032505292089,0,14.718,2.053,3.604,2.63792966973024,141.932890018758,4.03,10.432,0,18.71988,271.828713978495,0.064,20.5553767526485,0.005,33.141,32.42,36.428,0.097,"1988",433.039260957231,196.385117242642,116.461014154095,657.394069609591,591.262689325844,248.647562118537,2292.44100853944,161.443455719347,173.225385971961,72.5641385331,81.017057902901,240.937170496355,314.064771450391,263.878167675465,2213.72003562792,513.365176491643,107.134760889208,1012.45592124741,45.446888129777,207.409298331042,106.913945858192,64.9257700125357,4948.82525765126,20.9028195337917,111.103523391171,201.832930439322,1010.37693679048,380.288468670553,185.974994164803,475.152721875462
"5","1989",3.16593539520976,9.138,4.2475,49.5336441054664,29.442,8.97655699346106,125.828867521915,18.2744269098523,36.8957959334486,0.578,17.4125,71.9721712968501,0,3.024,57.632,12.805,10.7355027958549,231.796310541705,10.012,14.64,23.411728,4.75528,176.72959139785,1.182,7.204,6.15214560874931,10.437,101.785,3.307,1.691,"1989",14.835,1.398,9.524,51.4712039069715,4.949,9.39500375744441,501.005068225964,26.3605730901477,38.8339950240416,15.034,13.715,9.75928808075554,0,15.128,3.709,7.275,2.96261019148711,149.58808076577,4.087,9.132,0.058806,19.19475,379.170823655914,0.038,24.3074096921053,0.215,38.575,34.407,39.93,0.115,"1989",452.428115080135,218.727971260619,129.334348039175,626.750909446897,581.885029265278,242.091926263449,2290.79939806954,176.92015402827,168.783489817021,80.8092420158,85.5271665592832,253.849010080274,294.76899344921,277.147547493286,2311.47406222519,560.537017144964,116.874941168302,1040.07394769837,52.2985833574859,218.382051128605,117.213410220648,74.6998554859828,5037.9408027082,17.816788436438,107.553830929644,205.695473100591,998.752333077201,400.849756355701,187.087166163803,457.003488309251
"6","1990",3.16593539520976,8.604,3.9417,48.011,34.676,8.731,128.493793298355,19.886968789581,39.1519035246007,0.633,15.5535,64.0383205262306,0,3.474,50.366,13.312,12.32408,287.537855954082,10.555,18.856,23.410018,10.369481,135.978711827957,1.305,4.944,5.06989968002677,10.8,102.719,3.064,1.57,"1990",9.654,1.509,10.1923,49.889,4.998,9.138,511.615839400629,30.322031210419,40.7285522146336,16.448,16.446,13.2084711388736,0,12.5655,2.771,9.958,3.40076,172.93030706938,5.54,9.604,1.243318,17.76506,400.822746236559,0.006,19.8472255162698,0.325612,35.9,39.082,36.529,0.125,"1990",447.348357782514,216.172198105073,136.442057134349,726.388332771554,593.034987351229,240.602574394906,2234.66934940275,190.571049872636,202.285731583295,82.2392740372999,87.9344750168703,267.923033439526,309.058776206199,281.561492758638,2326.50284249538,603.187543043332,135.759390765545,1086.18522728329,58.8307624201383,235.389152296544,120.365442988657,89.7318169030732,4946.55357042061,17.8671345219977,101.381185754234,197.163867302517,1003.05828460957,401.894028085625,195.906410075846,374.045844256717
"7","1991",3.16593539520976,10.156,3.2932,38.528,28.116,7.49898216681052,123.973432685064,22.1110433879942,42.2400360351567,0.643,12.9535,67.6931130128393,0,2.879,51.923,13.444,14.24383,275.446557432548,10.945,27.182,26.340497,12.748967,128.765132258064,1.492,7.619,5.24592513805662,14.8,104.287,3.304,1.528,"1991",8.622,1.361,12.5886,46.431,5.824,8.64121123857636,501.311122713122,35.0019566120058,42.7556766153418,16.709,20.4065,18.9321419657188,0,11.2025,2.429,13.355,4.34982,184.344112418944,7.726,9.935,2.971792,19.051186,410.272061290323,0.035,21.0222933956873,0.373,36.3,35.87,41.015,0.107,"1991",429.049546926408,223.016539606241,139.799365044986,650.340121633099,602.841342475845,238.26633253274,2168.90705448077,211.035586585288,212.06426560631,100.8094344743,88.5628362753147,277.293595942646,303.469056980623,282.247040237189,2457.75273518907,635.680047759586,146.343098080674,1099.77346500141,70.4969414308237,263.752886348375,129.884030587798,99.874398762475,4900.40445569264,17.4269742393443,103.112753008546,206.445101417113,965.148558607663,402.859367702831,201.621213679316,368.752172829903
"8","1992",3.16593539520976,14.329,5.273,22.618,29.809,7.30034989173864,100.052081575578,20.7316968789533,49.5763808816099,0.692,12.2425,66.8470006923935,0,2.3915,53.21,14.811,14.94006,282.141486550261,9.642,35.311,22.555171,15.090259,107.692648387097,1.62,7.661,6.33311362504322,13.2,116.02,3.155,1.457,"1992",13.122,1.711,10.8137,42.235,12.583,8.73541867182699,460.187429929225,37.1593031210467,43.8967964137543,17.997,22.9445,18.7759422032881,0,11.964,2.467,16.258,3.24939,184.159156993863,11.398,12.187,3.053704,22.94304,434.488572043011,0.006,20.4208828004442,0.39,33,35.168,43.462,0.1,"1992",440.817312847022,243.298047925014,143.878913884223,578.302976089478,584.680282990219,236.308376639651,2073.43197678828,226.479311025797,208.57943149126,98.091598667,87.9640995936299,280.265715449577,307.119129250232,284.470329428027,2582.06868424399,673.074845844061,160.537004409263,1111.40044018919,76.3414734242876,288.261480042655,138.756218559864,110.449402993539,4978.21448904013,18.3193686594,109.603141939756,216.72230778718,919.194459066917,400.66595453362,202.994657093148,353.402702904723
"9","1993",3.16593539520976,9.544,5.1745,16.936,21.143,6.73497648079926,82.885595806997,23.7733458387133,54.7930156132631,0.806,10.472,65.9245318942489,0,2.3705,65.454,14.208,14.72373,238.795988837976,9.499,34.888,26.278803,18.238486,121.277612903226,2.046,6.693,6.2156034722743,10.1,113.919,3.026,1.572,"1993",15.299,1.196,10.7882,38.888,34.039,7.75997290141087,429.168167163607,40.2836541612867,47.8755200327219,20.924,26.1725,19.0673324033781,0,12.247,3.124,17.878,4.31729,182.323957677665,13.905,14.488,2.638512,27.95316,446.157847311827,0.014,22.2892382497477,0.388,32.8,39.596,44.121,0.097,"1993",434.930503381359,228.742817147728,148.469835864374,474.760360439383,570.545143969467,208.546411704932,1896.72214507223,212.035630002347,212.982775207906,101.9524581276,87.4822703117516,283.815990598247,306.916474961572,291.272860954494,2790.67942574788,693.646076784256,171.042999053019,1101.74655060814,77.2083306275149,317.851753067348,151.319637321687,124.856765263464,5093.69603791675,20.5318382252,109.356266458816,227.713964456274,911.63559342952,395.668512909424,207.065384089202,352.220680842861
"10","1994",3.16593539520976,10.509,5.5488,10.399,14.837,4.76835475426614,73.2704395586872,26.76460502476,55.5679352971076,0.88,8.5305,79.7202900946888,0,2.529,48.199,15.747,11.20074,281.116873888749,8.466,40.363,26.637011,21.03235846,113.872024731183,1.97,4.557,6.44245004874996,10.1,116.312,3.331,1.686,"1994",15.437,3.229,13.8223,34.26,53.258,5.35039805690517,363.74231404168,47.24839497524,50.478018557915,22.856,29.2915,21.3801850260356,0,13.556,3.154,21.882,12.3335,199.119502829006,17.491,20.046,5.427485,31.484798,494.858797849461,0.004,22.0811954836185,0.479167431922037,36.1,40.404,43.541,0.147,"1994",450.033947162504,239.513487413739,147.114511140017,397.995251271406,556.376697160186,192.752167666609,1727.65969008345,238.554734221188,249.451930168538,111.2362381752,88.3591738253781,307.496496949296,317.729631502073,301.969041283479,2940.0247185353,724.851682280656,183.100666653658,1164.76629639195,85.3358146778873,346.481866555859,157.935634964577,140.008806519575,5170.6386012686,22.9030473128,109.434254679144,237.644568639493,892.255573986527,393.456576309543,204.566761827189,334.293402951511
"11","1995",3.16593539520976,14.623,5.772,10.391,17.297,4.86027505283731,67.791865782913,29.3393611645146,60.1196624628602,0.776,9.01,70.0065079182534,0,2.7715,55.094,16.826,8.57921,248.67469943559,8.974,42.045,32.030313,23.97307505,80.1656612903224,1.295,4.585,7.58148150202466,9.1,120.8,2.814,1.523,"1995",19.9754838709677,3.75,16.5793,32.726,63.739,5.45430867040631,353.544216108927,46.5996388354854,49.8083629023106,24.206,30.45,22.3977671040927,0,13.679,2.999,29.434,20.66654,201.16463298105,17.726,21.296,5.873227,33.86326225,533.395639784945,0.748,24.881919730581,0.559693704326954,41.1,46.442,42.011,0.258,"1995",461.15415379949,248.291004367725,161.250973682097,369.885342552524,553.312711855063,168.867415107049,1617.80972750903,248.939000654251,242.052912560762,115.2388237057,93.4959414204853,294.779294779999,326.863568564119,311.374936078467,3029.07297903552,774.46609072109,195.248669824667,1179.25374841073,87.1837118930425,376.35831217917,168.986467917794,153.903178126657,5201.12347586802,27.180056522872,112.966506739194,251.916952963934,884.358046826166,413.793300023654,211.670165078104,340.808761327645
"12","1996",3.16593539520976,13.92,6.5396,4.947,17.185,4.24591917078152,56.5078786854074,31.7396506089334,62.6484782664261,0.895,10.5725,71.4758541918082,0,2.49,50.351,19.848,9.17187,237.25818506101,10.125,42.436,28.030879,25.55609095,87.5389516129033,1.463,4.624,9.32814455823864,8.162,117.088,2.824,1.772,"1996",18.6215053763441,6.767,17.1742,33.275,84.086,4.76412581262112,364.111081491379,49.0943493910666,49.5186440254094,25.677,31.5135,21.1682648805156,0,11.9355,2.828,32.024,21.85554,212.916207087616,29.641,27.05,6.242271,36.4333442,489.307070967741,1.097,29.379675489755,0.974146837316111,45.56,49.725,47.075,0.323,"1996",470.466138333048,244.60929116251,175.316336772144,342.674869646066,573.43378881099,146.982059804099,1564.2131588124,262.544152965323,246.551742946113,117.6829270516,99.4552534476572,306.054199070481,332.070332343456,320.525044767045,3178.56450696987,813.525104998653,205.976556496491,1199.55103837104,98.9366989188073,418.115530387779,177.269494505849,171.93104423102,5383.81723337392,31.155780259568,123.049580480659,271.447911579767,910.551355431649,409.16380250562,221.731532334264,354.32956798327
"13","1997",3.16593539520976,14.103,7.1573,2.327,10.669,3.76679362152041,51.7922911088225,32.0536334635466,66.1937610663929,1.174,12.3335,82.5114289078669,0,1.998,47.115,20.889,12.00631,208.942806810439,10.235,42.943,28.746788,21.706311613,99.5213688172044,2.177,2.042,9.96905295843237,7.4,113.312,2.823,1.901,"1997",22.8263440860215,18.174,22.0856,31.017,110.963,4.22572259123096,356.867557724436,58.8923665364534,52.9107098662872,27.29,32.6795,23.1212186353505,0,12.18,8.077,40.179,29.61548,219.677328034114,40.595,31.823,8.98615,44.573673632,515.482440860217,1.973,26.9045275540408,1.177,48.1,60.649,50.661,0.215,"1997",484.896790719451,263.685653283533,185.136897819567,343.418111288265,554.642832362812,129.935786762737,1464.12806477407,272.566765180228,250.865904529463,122.4282657481,103.912410779948,319.290072903945,339.575190468854,330.626777647781,3166.68803305558,855.266514168515,229.149638427157,1198.10839915862,114.731983522873,452.463001240751,192.644082392989,178.687603375389,5490.31139247781,37.809227882912,117.529545244015,284.615595528075,883.309659059924,413.174758473153,218.909778437826,349.688768670372
"14","1998",3.16593539520976,17.499,7.9233,2.248,8.18254048252382,3.63446622616036,52.9433103123877,23.0299130501329,72.5670812265596,1.219,16.063,92.3325228907979,0,1.775,53.392,21.038,9.53041,192.404351318057,9.816,17.712,29.975325312,18.523070712,138.494809677419,3.676,3.81,11.2095961324617,6.7,107.305,3.013,1.902,"1998",26.4237634408602,16.212,24.8375,29.197,117.798288191052,4.07319604939075,346.503751996216,71.7550869498671,53.6005974397219,32.173,32.5295,30.0223250982958,0,14.4675,6.092,50.175,31.07327,230.099560921314,40.298,26.302,14.302811153,49.021127973,571.244197849464,3.437,28.020801118205,1.321,50.743,70.213,52.126126,0.313,"1998",498.558606734692,274.376505357422,187.086181508989,329.185915800309,556.052926916111,122.950011777438,1446.98917800503,278.79918885722,264.941116721476,124.8219159531,108.067073320316,336.563916386348,332.825349037614,339.998956574673,3163.73950883683,894.773923867493,222.281201187909,1163.64419815734,105.398346198313,393.378716414307,206.289368723493,163.791909351536,5528.36736181837,41.21884652568,123.354488603312,294.742418250125,874.19399209516,426.313696403771,219.868275234188,330.088379600415
"15","1999",3.16593539520976,24.445,8.0795,1.427,6.5487897059158,3.01235548434947,40.9020726602845,27.3424400152996,76.0977428674364,1.258,15.0515,89.6631417042206,0,1.7565,50.261,24.802,9.81549,193.238116553227,4.888,18.527,31.363047434,15.886584,126.947137634409,3.274,3.831,16.636875,6.3,91.379,2.781,1.891,"1999",27.874623655914,19.058,36.3459,30.254,142.900868610589,4.09807726612194,358.633637092949,77.1505599847004,54.9016332516324,35.869,37.2265,32.9051698364898,0,16.123,4.813,59.009,33.49757,244.686818532496,45.658,30.124,15.476981186,53.804434629,598.275405376344,3.596,40.2090069500724,2.6528650887574,51.8,86.217,52.581516,0.62,"1999",504.408055191139,298.646299669115,187.752435611853,339.045218080888,546.986526314652,114.15293080468,1446.9700670772,297.680761131199,269.741177936864,125.2059329007,113.607267021972,333.506232907394,344.400445752277,356.62922952537,3294.65729872604,911.691750111565,244.931856620815,1196.98543432531,118.963335876775,427.545083190807,234.224092070458,171.24585173526,5577.14655160908,40.21898434216,123.249977281801,297.999149790042,851.762231728106,430.713195220548,216.562323874063,323.297266993275
"16","2000",3.16593539520976,22.578,9.3108,1.187,6.52398441669739,2.68694953198913,33.091,33.4872572955877,74.8449672105625,1.234,16.8719428653669,96.5795940017186,0,1.914,47.268,29.163,12.504,179.43207488968,3.6,26.9780406113281,30.738006883,9.719371,119.592435483871,4.519,2.883,15.24524,5.866,85.878,2.641,1.916,"2000",35.4251612903226,20.178,46.2169,29.947,148.076532816805,5.518921827324,370.372,81.5592427044123,63.8385160026306,38.71,42.1883571346331,40.3095866450451,0,16.758,5.773,55.964,31.929,253.7623174024,49.864,39.2533966933594,17.695578726,61.094558866,646.277590322583,4.356,43.3248213888858,4.06785979906588,49.197,101.36,52.492704,0.928,"2000",526.063775289955,309.556734030833,206.401301306419,338.965969229482,562.986952285304,100.488441170163,1453.3439248478,313.897463637615,278.099304886213,124.4085469713,118.679944391105,353.184452109991,343.170289547889,358.076753097137,3362.70047473906,962.480804119105,268.169332699284,1218.33103367401,131.255685212471,461.081323934004,235.738126931739,169.803677899217,5748.29334078012,46.9658701484111,124.760984664452,302.214321545181,849.490343543377,435.160804819831,218.441005682557,299.375168419254
"17","2001",3.16593539520976,24.632,10.3662,1.061,5.25316632900467,2.33139423684599,30.0199896193173,33.4741544408355,69.4383473680332,1.208,17.6477597822142,92.7421650752088,0,2.245,48.517,26.791,13.165,150.989739550549,4.382,30.6212679157212,25.571088619,2.66694873599998,134.279807526882,4.757,1.004,15.9038126739563,6.101,75.008,2.646,2.398,"2001",41.8270967741935,23.358,49.5492,30.357,141.906054112841,5.88764326617804,376.743869724853,89.5011455591645,76.6548643692313,41.964,48.4713402177859,50.8608349247912,0,24.5005,4.934,55.934,33.087,251.745694444095,53.421,40.6807774215412,20.537000212,71.228779315,687.235611827957,4.423,38.1289965141818,9.92124605568446,55.516,104.188,54.408072,1.358,"2001",523.913160151703,313.60591945179,186.75827154898,339.027641528302,574.288832366491,118.614015145872,1466.50797379138,328.480747292935,287.066232406052,125.100959595434,126.337610041148,351.85284190154,348.378344900791,360.339538355292,3525.02870495571,970.31935571917,290.557318590406,1209.68779247529,133.338084531915,472.589428872225,233.609547241499,176.293050667182,5636.8328868337,51.3726048232957,115.939459016263,311.294873216908,866.011105575545,432.552107689735,228.45507660024,297.687608684941
